Username,Password,Full Name,Email,Role,Department,Office,Portal
admin,password123,System Administrator,admin@trustoms.local,system_admin,IT,Manila HQ,Back Office
bo_head,password123,Operations Head,bohead@trustoms.local,bo_head,Trust Operations,Manila HQ,Back Office
bo_maker,password123,Operations Maker,bomaker@trustoms.local,bo_maker,Trust Operations,Manila HQ,Back Office
bo_checker,password123,Operations Checker,bochecker@trustoms.local,bo_checker,Trust Operations,Manila HQ,Back Office
trust_officer_1,password123,Maria Santos-Reyes,msantos@trustoms.local,bo_maker,Trust Operations,Manila HQ,Back Office
trust_officer_2,password123,Jose dela Cruz,jdelacruz@trustoms.local,bo_maker,Trust Operations,BGC Branch,Back Office
trust_officer_3,password123,Ana Mendoza,amendoza@trustoms.local,bo_maker,Trust Operations,Makati Branch,Back Office
checker_1,password123,Roberto Lim,rlim@trustoms.local,bo_checker,Trust Operations,Manila HQ,Back Office
checker_2,password123,Carmen Villanueva,cvillanueva@trustoms.local,bo_checker,Trust Operations,Cebu Branch,Back Office
rm_1,password123,Patrick Tan,ptan@trustoms.local,bo_maker,Private Banking,Manila HQ,Back Office
rm_2,password123,Sophia Garcia,sgarcia@trustoms.local,bo_maker,Private Banking,BGC Branch,Back Office
rm_3,password123,Marco Ramos,mramos@trustoms.local,bo_maker,Private Banking,Cebu Branch,Back Office
compliance_officer,password123,Atty. Diana Flores,dflores@trustoms.local,bo_checker,Compliance,Manila HQ,Back Office
portfolio_mgr,password123,Kevin Uy,kuy@trustoms.local,bo_maker,Investment Management,Manila HQ,Back Office
branch_head,password123,Theresa Aquino,taquino@trustoms.local,bo_head,Trust Operations,Manila HQ,Back Office
client_reyes,password123,Eduardo Reyes,ereyes@client.trustoms.local,client,Client,Portal,Client Portal
client_lim,password123,Catherine Lim-Ong,clim@client.trustoms.local,client,Client,Portal,Client Portal
client_dmci,password123,DMCI Trust Admin,trust@dmci.com.ph,client,Client,Portal,Client Portal
